BoroCode,Program,RackType,Latitude,Longitude,FEMAFldz,HrcEvac
3,Bike Racks,Large Hoop,40.635434,-73.984424,X,0
2,Bike Racks,Large Hoop,40.860972,-73.892274,X,0
3,Bike Racks,Large Hoop,40.691951,-73.906201,X,0
3,Bike Racks,U Rack,40.613106,-73.939296,X,4
3,Bike Racks,Small Hoop,40.636445,-73.951654,X,5
3,Bike Racks,Large Hoop,40.714004,-73.949735,X,4
1,Bike Racks,Large Hoop,40.725019,-73.987329,X,0
5,Bike Racks,U Rack,40.637944,-74.073608,X,1
3,Bike Racks,U Rack,40.675859,-73.971374,X,0
2,Bike Racks,U Rack,40.829251,-73.875084,X,4
3,Bike Racks,Large Hoop,40.698896,-73.917019,X,0
4,Bike Racks,U Rack,40.583408,-73.821937,X,1
5,Bike Racks,Wave Rack,40.586759,-74.070217,AE,1
3,Bike Racks,Large Hoop,40.648973,-74.009262,X,0
3,Bike Racks,Large Hoop,40.711468,-73.961407,X,0
1,Bike Racks,Large Hoop,40.764224,-73.982277,X,0
1,Bike Racks,Large Hoop,40.73641428,-73.99660524,X,6
4,Bike Racks,Large Hoop,40.721391,-73.759527,X,0
1,Bike Racks,U Rack,40.780718,-73.95278,X,0
1,Bike Racks,U Rack,40.758391,-73.962723,X,0
1,Bike Corral,Bike Corral,40.779438,-73.953625,X,0
3,Bike Racks,Large Hoop,40.709322,-73.937286,X,6
3,Bike Racks,U Rack,40.720029,-73.956687,X,4
1,Bike Racks,U Rack,40.725749,-73.996406,X,0
4,Bike Racks,Large Hoop,40.765798,-73.772068,X,0
1,Bike Racks,Small Hoop,40.869447,-73.916686,X,0
4,Bike Racks,U Rack,40.755568,-73.828237,X,0
1,Bike Racks,Small Hoop,40.786164,-73.976005,X,0
1,Bike Racks,U Rack,40.756514,-73.964081,X,5
3,Bike Racks,Large Hoop,40.720699,-73.947782,X,4
3,Bike Racks,Small Hoop,40.663971,-73.983903,X,0
4,Bike Racks,U Rack,40.745114,-73.916327,X,0
1,Bike Racks,U Rack,40.72939739,-74.00203583,X,5
1,Bike Racks,Small Hoop,40.865101,-73.922124,X,3
3,Bike Racks,U Rack,40.716878,-73.954413,X,3
1,Bike Racks,Large Hoop,40.729155,-73.981169,X,2
1,Bike Racks,U Rack,40.729677,-73.982616,X,4
1,Bike Racks,Small Hoop,40.786806,-73.972084,X,0
1,Bike Racks,Small Hoop,40.833246,-73.945261,X,0
1,Bike Racks,Small Hoop,40.782209,-73.953497,X,0
4,Bike Racks,U Rack,40.768395,-73.773404,X,0
1,Bike Racks,U Rack,40.812391,-73.942275,X,6
3,Bike Racks,U Rack,40.713854,-73.957778,X,5
1,Bike Racks,U Rack,40.740434,-74.003943,X,4
1,Bike Racks,Small Hoop,40.763999,-73.964966,X,0
4,Bike Racks,U Rack,40.695893,-73.742327,X,0
3,Bike Racks,Large Hoop,40.686413,-73.916517,X,0
