Unnamed: 0,BoroCode,Latitude,Longitude,HrcEvac,Program_Bike Racks,RackType_DOT Sled (Black),RackType_GFI Sled (Silver - Right),RackType_GFI Sled (Silver),RackType_Large Hoop,RackType_Opal Rack (Parks),RackType_Other DOT,RackType_Other Non-DOT,RackType_Small Hoop,RackType_Staple (Parks),RackType_U Rack,RackType_U Rack (DOT),RackType_Undetermined,RackType_Wave Rack,RackType_Wave Rack (Non DOT),RackType_Wave Rack (Non-DOT),RackType_Wave Rack (Parks),FEMAFldz_AE,FEMAFldz_VE,FEMAFldz_X,Cluster
49,1,40.734413,-74.006597,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
50,1,40.809716,-73.937827,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,5,40.571793,-74.108925,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
52,2,40.883076,-73.830262,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
53,1,40.742364,-73.99345,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
54,1,40.757799,-73.966535,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
55,1,40.802858,-73.938448,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,1,40.736398,-73.994779,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
57,1,40.801167,-73.947865,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
58,3,40.660734,-73.961348,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
59,3,40.683527,-74.002798,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
60,1,40.711666,-73.996957,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
61,3,40.694653,-73.97809,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
62,1,40.797408,-73.968314,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,3,40.68863,-73.976815,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,3,40.688118,-73.989589,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
65,4,40.740194,-73.923442,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
66,1,40.732774,-73.985758,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
67,1,40.756518,-73.964529,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,1,40.802367,-73.934641,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,4,40.756886,-73.756969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
70,3,40.699233,-73.923239,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
